"","Project","DeploymentID","Site","Cruise","Status","Platform","Region","Type","Instrument_ID","GPS_Tracker","GPS_ID","GPS_Timing","Depth_Sensor","Deployment_Latitude","Deployment_Longitude","Deployment_Date","Deployment_Depth_m
","Deploy_Vessel","Recovery_Date","Recovery_Latitude","Recovery_Longitude","Retrieve_Vessel","Array_name","Number_of_Sensors","ChannelNumber_1","SensorNumber_1","ChannelNumber_2","SensorNumber_2","Data_Start","Data_End","RecordingDuration_m","RecordingInterval_m","SampleRate_kHz","Quality_Analyst","Quality_Category","Quality_LowFreq","Quality_HighFreq","Data_ID","Pressure","Acceleration","Temperature","Known Takes","SanctuaryPermit","Personnel","Notes","DutyCycle","DeployDuration_days","RecordDuration_hrs"
"21","ADRIFT",21,"MBY","CCC","Complete","drift","WCoastUSA","ST640","6670","Solar","SO-798","30","16597",35.80185,-121.984017,2022-06-21 17:15:00,100,"R/V Fulmar",2022-06-25 18:30:00,35.623483,-121.823783,"R/V Fulmar","F02_9299",2,1,856164,2,"856175",2022-06-21 17:07:29,2022-06-25 18:37:12,"Continuous",NA,384,"Cory Hom-Weaver","compromised",800,192000,"ADRIFT_021","No","10",NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis","CCC Pilot Project. Rocker stopper was lose and banging around through the whole deployment. Noise is mostly in the lower frequencies","Continuous",4.05208333333333,97.4952777777778
"22","ADRIFT",22,"MBY","CCC","Complete","drift","WCoastUSA","ST640","6667","Solar","SO-359","30","16595",35.80385,-121.877383,2022-06-21 17:46:00,100,"R/V Fulmar",2022-06-25 16:51:00,35.49745,-122.023217,"R/V Fulmar","H02_9299",2,1,856159,2,"856177",2022-06-21 17:37:30,2022-06-25 16:52:16,"Continuous",NA,384,"Cory Hom-Weaver","compromised",1500,192000,"ADRIFT_022","No","10",NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis","CCC Pilot Project. Rocker stopper moved a lot. Lots of noise in the lower frequencies but broadband noise in the LTSA goes up pretty high (100kHz or so )","Continuous",3.96180555555556,95.2461111111111
"23","ADRIFT",23,"MBY","CCC","Complete","drift","WCoastUSA","ST640","6665","SPOT and solar gps","P/Q/SO-506","30/60/30","16408",35.713917,-122.1861,2022-06-21 19:11:00,100,"R/V Fulmar",2022-06-25 21:26:00,35.843,-121.88,"R/V Fulmar","X01_9299",2,1,856140,2,"856150",2022-06-21 18:52:29,2022-06-25 21:29:41,"Continuous",NA,384,"Cory Hom-Weaver","compromised",800,192000,"ADRIFT_023","No","10",NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis","CCC Pilot Project. LF recordings are noisy. Something hitting HP","Continuous",4.09375,98.62
"24","ADRIFT",24,"MBY","CCC","Complete","drift","WCoastUSA","ST640","6664","Solar","SO-919","30","16536",35.71575,-122.085283,2022-06-21 19:36:00,100,"R/V Fulmar",2022-06-25 20:13:00,35.7206,-122.108667,"R/V Fulmar","E02_9299",2,1,856163,2,"856171",2022-06-21 19:29:59,2022-06-25 20:14:42,"Continuous",NA,384,"Cory Hom-Weaver","good",65,192000,"ADRIFT_024","No","10",NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis","CCC Pilot Project","Continuous",4.02569444444444,96.7452777777778
"25","ADRIFT",25,"MBY","CCC","Complete","drift","WCoastUSA","ST640","6672","Solar","SO-082","30","16656",35.715583,-121.981633,2022-06-21 20:01:00,100,"R/V Fulmar",2022-06-25 17:21:00,35.541283,-122.025417,"R/V Fulmar","Z01_9299",2,1,856135,2,"856148",2022-06-21 19:44:59,2022-06-25 17:29:42,"Continuous",NA,384,"Cory Hom-Weaver","good",10,192000,"ADRIFT_025","No","10",NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis","CCC Pilot Project","Continuous",3.88888888888889,93.7452777777778
"26","ADRIFT",26,"MBY","CCC","Complete","drift","WCoastUSA","ST640","6663","SPOT and solar gps","AE/FB/ SO-692","30/60/30","16658",35.715583,-121.876783,2022-06-21 20:36:00,100,"R/V Fulmar",2022-06-25 20:47:00,35.753433,-122.014633,"R/V Fulmar","B02_9299",2,1,856165,2,"856173",2022-06-21 20:22:29,2022-06-25 20:44:44,"Continuous",NA,384,"Kourtney Burger","compromised",20000,192000,"ADRIFT_026","No","10",NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis","CCC Pilot Project. Rocker stopper moved and caused a ton of noise. Not sure if the recordings are usable in the higher frequencies. Won't work for baleen whales. Included in package for NCEI, visible dolphins in upper frequencies","Continuous",4.00763888888889,96.3708333333333
"27","ADRIFT",27,"SFB","ACCESS","Complete","drift","WCoastUSA","ST640","6671","SPOT and solar gps","K/AF/SO-506","30/60","16528",37.90122,-123.4428,2022-07-26 18:27:00,100,"R/V Fulmar",2022-07-30 18:38:00,37.68333,-123.7762,"R/V Fulmar","N01_92NA96",2,1,856117,2,"856118",2022-07-26 18:37:12,2022-07-30 18:14:25,"Continuous",NA,384,"Cory Hom-Weaver","good",50,192000,"ADRIFT_027","No","10",NA,NA,"CBNMS","Jan Roletto, Dani Lipske",NA,"Continuous",4.00763888888889,95.6202777777778
"28","ADRIFT",28,"SFB","ACCESS","Complete","drift","WCoastUSA","ST640","6668","SPOT and solar gps","G/F/SO-082","30/60","15801",37.88748,-123.3764,2022-07-26 17:05:00,100,"R/V Fulmar",2022-07-30 18:24:00,37.71733,-123.7965,"R/V Fulmar","K02_9299",2,1,856154,2,"856170",2022-07-26 17:29:47,2022-07-30 20:20:32,"Continuous",NA,384,"Cory Hom-Weaver","good",30,192000,"ADRIFT_028","No","10",NA,NA,"GFNMS / CBNMS","Jan Roletto, Dani Lipske",NA,"Continuous",4.05486111111111,98.8458333333333
"29","ADRIFT",29,"HUM","Scrimshaw","Failed","drift","WCoastUSA","ST4300HF","5989","SPOT","E/AH","30/60","15817",41.13138,-124.4402,2022-07-28 16:10:00,100,"F/V Scrimshaw",2022-08-01 22:47:00,40.94754,-124.3201,"F/V Scrimshaw","L01_9296",2,1,856049,2,"856068",NA,NA,"Continuous",NA,384,"Kourtney Burger","unusable",NA,NA,"ADRIFT_029","No","10","10",NA,NA,"Blair Winnacott","2 humpbacks and 1 female elephant seal spotted further inshore. Polytron line was cut and acoustic array was sunk.","Continuous",4.27569444444444,NA
"30","ADRIFT",30,"HUM","Scrimshaw","Complete","drift","WCoastUSA","ST4300HF","5987","Solar","Solar","30","15518",41.12946,-124.54122,2022-07-28 16:25:00,100,"F/V Scrimshaw",2022-08-01 21:32:00,41.04706,-125.02628,"F/V Scrimshaw","G02_9299",2,1,856161,2,"856176",2022-07-28 18:59:58,2022-08-01 11:29:40,"Continuous",NA,384,"Cory Hom-Weaver","good",50,192000,"ADRIFT_030","No","10","10",NA,NA,"Blair Winnacott","Solar GPS used and worked well.","Continuous",4.21319444444444,88.495
