"UTC","species","call","DriftName"
2021-08-24 10:00:00,"Bm","A","ADRIFT_001"
2021-08-24 11:00:00,"Bm","B","ADRIFT_001"
2021-08-24 11:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 11:00:00,"Bm","D","ADRIFT_001"
2021-08-24 11:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 11:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 12:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 12:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 12:00:00,"Bm","B","ADRIFT_001"
2021-08-24 12:00:00,"Bm","A","ADRIFT_001"
2021-08-24 12:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 13:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 13:00:00,"Bm","A","ADRIFT_001"
2021-08-24 13:00:00,"Bm","B","ADRIFT_001"
2021-08-24 13:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 14:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 14:00:00,"Bm","A","ADRIFT_001"
2021-08-24 14:00:00,"Bm","B","ADRIFT_001"
2021-08-24 14:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 15:00:00,"Bp","20Hz","ADRIFT_001"
2021-08-24 15:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 15:00:00,"Bm","A","ADRIFT_001"
2021-08-24 15:00:00,"Bm","B","ADRIFT_001"
2021-08-24 15:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 16:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 16:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 16:00:00,"Bm","A","ADRIFT_001"
2021-08-24 16:00:00,"Bm","B","ADRIFT_001"
2021-08-24 16:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 17:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 17:00:00,"Bm","A","ADRIFT_001"
2021-08-24 17:00:00,"Bm","B","ADRIFT_001"
2021-08-24 17:00:00,"Mn","Social","ADRIFT_001"
